job,salary,city,education,workday,worktime,job_good,job_detail,company_pic,company_name,company_scale,company_class
实习生（数据分析部）,120-130／天,广州,本科,3天／周,实习6个月,职位诱惑：成长快，工作氛围良好，待遇好,岗位职责：协助数据运营中心进行资料搜集、整理，资料审核以及其他辅助性工作。协助数据分析师在公司数据库内完成数据清洗，配置规则和监控等辅助工作。任职要求：1. 能保证半年以上时间段内，每周至少有3天到岗时间2. 诚实正直、成熟稳重、善于交流3. 良好的沟通协调能力和团队协作精神4. 相关专业（统计学、数学、信息工程、计算机等）本科5. 熟练使用MS Office办公软件（Excel、Power Point）,https://sxsimg.xiaoyuanzhao.com/9E/85/9E383E96837AC4F67173E36E004B2A85.png,赛惟咨询,50-150人,企业服务
市场部数据分析实习生,120-121／天,广州,本科,4天／周,实习12个月,职位诱惑：外企 世界500强 市场部 数据分析 快消,"市场部数据统计实习生-百威英博华南事业部实习期：2017年9-12月,每周至少3天工作职责与要求：- 本科或本科以上，统计学专业优先；- 擅长Excel,数据分析，工作认真仔细；- 有相关数据建模经验优先；",https://sxsimg.xiaoyuanzhao.com/AC/76/AC28D61B242B02708EF8F728F4DAFF76.jpg,百威英博,2000人以上,快消
手游数据分析师,150-250／天,广州,大专,5天／周,实习3个月,职位诱惑：双休包餐 五险一金 员工培训,1、监控数据，实时发现并解决广告投放中出现的问题； 2、数据分析，分析市场投放效果并提出有建设性的改进意见； 3、优化并不断改进市场广告流程以及后台等工具。 岗位要求： 1、大专及以上学历，理工类专业优先； 2、爱玩游戏，热爱互联网或游戏行业，致力于在游戏行业发展；3、熟练运用word、excel、ppt等office办公软件；4、内敛细心，勤奋踏实，责任心强，具有良好的团队合作精神。5、能承受强大工作压力，适应游戏公司的快节奏及适度加班。,https://sxsimg.xiaoyuanzhao.com/DC/45/DC6349CDFEE9F33B4056B9715257EB45.jpg,大蓝游戏,50-150人,计算机/互联网
实习工程师岗位（JAVA开发、数据开发、数据分析挖掘方向),115-200／天,广州,本科,5天／周,实习12个月,职位诱惑：转正后13薪+年终奖+六险一金+节日礼品+员工体检等,"【岗位职责】 1.  学习数据库开发、java开发、数据挖掘及大数据开发技术； 2.  学习本地项目业务流程，完成基本开发任务； 3.  负责客户意见反馈与问题跟踪，自行解决简单问题； 4.  实习期满视个人能力及工作意愿转相应开发岗位。 【岗位要求】 1.  具有全日制普通高等院校本科(含)在读生或应届毕业生，计算机、软件、数学、统计等相关专业； 2.  对软件开发有浓厚兴趣，有志于投身民族软件事业； 3.  有良好的沟通与团队合作精神，有较强的分析解决问题的能力； 4.  熟悉一种或几种主流数据库，如Oracle,Hive,Mysql,SQL Server等并且能熟练编写SQL语句（数据库开发方向）； 5.  熟悉数理统计原理，熟悉R、CLEMENTINE、SAS等（数据分析挖掘方向）； 6.  熟悉java、JSP、java script和HTML、XML（java开发方向）； ",https://sxsimg.xiaoyuanzhao.com/22/7B/22B423F3ACCB56C620622B3396FFD07B.jpg,东方国信,2000人以上,计算机/互联网
数据分析实习生,80-150／天,广州,本科,4天／周,实习10个月,职位诱惑：大数据；人工智能；年轻团队；实习奖金,工作职责：• 负责挖掘互联网企业数据来源，并对这些数据与材料加以分析和使用；• 负责企业数据的维度枚举及整理分类，并确保各项分析报表的准确性和及时性；• 通过数据分析结果，给各相关业务带来专业准确的意见和建议；• 负责向开发工程师提出数据爬取需求，并跟进数据爬取的开发进度。工作要求：• 本科及以上学历，有相关数据分析经验者优先；• 掌握常用的数据统计分析方法及相关的软件工具；• 具备较强的数据敏感度，善于发现应用价值高的数据来源；• 熟练使用Excel，Word等常用的Office办公软件；• 有数据库经验者优先；• 工作细心，有耐心，具备良好的团队协作能力 ,https://sxsimg.xiaoyuanzhao.com/84/EA/840111AC10F5D7D35D22026EBAAFC2EA.png,探迹,50-150人,计算机/互联网
数据分析工程师（实习生）,150-300／天,广州,不限,4天／周,实习4个月,职位诱惑：丰厚薪资、实习证明、下午茶、周末双休,该职位接受暑期实习&长期实习。岗位职责：1、负责金融行业数据挖掘和数学建模的相关工作；2、负责数据挖掘领域的分析研究，包括数据挖掘算法的分析研究，特定工程的数据挖掘模型的需求分析、建模；3、负责数据挖掘系统的开发，包括需求分析、系统设计、系统测试和优化。招聘要求：1、优秀在读本科生或研究生，数学、统计学、计算机相关专业优先；2、熟悉数据挖掘语言，能灵活运用scala、java、R、Python中的一种，熟悉科学计算和数据建模相关库；3、勤奋踏实，乐于学习新事物，有良好的团队合作精神和高度责任感。,https://sxsimg.xiaoyuanzhao.com/92/22/92CCC4EF8DA7DFFA1C9E1A67485F3C22.png,深圳道乐,15-50人,"计算机/互联网,金融"
数据分析实习生,100-150／天,广州,本科,5天／周,实习3个月,职位诱惑：公司发展前景好，工作氛围轻松，提供实习补贴及免费三餐, 一、岗位职责：1、负责项目的需求调研、数据分析、商业分析和数据挖掘模型等，通过对用户的行为进行分析了解用户的需求；2、参与业务部门临时数据分析需求的调研、分析及实现，对产品和运营提出优化建议；3、密切关注游戏运营数据，对数据异常及时给出预警；4、需要细致、有责任感、沟通能力强。二、岗位要求：1、17/18本科及以上学历，热爱游戏；2、愿意主动积极沟通，思路清晰，逻辑性强，对数字敏感 ；3、有企业数据分析经验可加分。三、薪酬福利：1、薪资福利：薪资+全勤奖+年终奖，法定节假日加班享有足额加班费；2、发展方向：人性化的晋升体制，通过内部培训与实践及多方位提拔优秀人才；3、员工福利：提供免费三餐及下午茶；全勤奖、节日福利、丰厚的年终奖；每月员工生日会、部门团建活动丰富；4、团队精神：和谐、融洽的工作氛围及积极向上的企业文化。 ,https://sxsimg.xiaoyuanzhao.com/E1/91/E1455244E7B9AF9A2426BDE79B460291.png,贪玩游戏,500-2000人,计算机/互联网
数据分析师,90-120／天,广州,不限,5天／周,实习10个月,职位诱惑：办公环境好，绩效奖金，员工旅游，餐饮补贴,岗位职责：1、建立、核对、维护公司业务数据，负责数据统计和处理工作；2、完成业务数据的收集、整理和统计，并定期形成数据统计报表；3、发现业务及数据问题，提出优化建议；4、完成领导交给的其他相关工作任务。任职要求：1、专科及以上学历，有一定数据统计工作经验，应届毕业生亦可；2、熟练使用office办公软件；3、工作细致耐心，逻辑思维强，具备良好的团队合作精神；4、热爱工作，敬业、勤恳，乐于思考，具有自我发展的主观愿望和自我学习能力。​,https://sxsimg.xiaoyuanzhao.com/72/27/722D4D5960BB38C287CF5DE05B110427.png,百财帮,50-150人,互联网金融
数据分析实习生,100-120／天,广州,大专,5天／周,实习6个月,"职位诱惑：腾讯投资,牛人带领,轻松氛围,帅哥美女多","职位描述：1、负责市场数据的汇总,包括日报、月报、周报原始数据的整理；2、根据市场需求，提取数据，提供各类型的数据分析报告；3、对市场的数据进行整理，编辑、录入，确保数据准确性并维护。任职要求：1、每周到岗五天（或至少保证周一至周五的“上午”都能到岗）大三学生优先；2、要求细心负责；3、excel技术好；根据能力将安排以下工作：1、市场商务谈判；2、协助处理市场费用报销等；3、app推广工作；4、其它上级交代的事情 为什么奢分期值得你来？1、项目靠谱：腾讯系公司，奢分期，市长都说好2、boss和团队靠谱：团队超强，来自阿里和微信的大牛中的大牛与你共事3、毕业转正将提供与你能力匹配的薪酬，另外还包括以下福利 - 五险一金 - macbook购置补贴 - 餐饮补贴 - 核心成员享有期权 - 零食饮料全部免费提供 - 下班交通补贴 - 带薪年假- 春节特别假按天数计算薪资。 工作地址广州市越秀区东风东路753号天誉商务大厦东塔2807，地铁站杨箕D出口 公司介绍腾讯系公司，奢分期于 2016 年创立，获腾讯，招商银行等多家互联网巨头战略投资，通过领先的金融与信息技术，为广大消费者、特别是年轻女性提供优质、便捷的分期消费服务的电子商务运营平台。让奢华触手可及，APP名为“奢分期”。 腾讯双百计划，多家互联网公司领投；优质的消费用户，无可挑剔的消体验；撮合资产和资金交易，金融科技的消费升级；团队来至微信、阿里巴巴大牛，多位金融界精英。工作地址广州 - 越秀区 - 天誉商务大厦东塔2807-2808（杨箕地铁站附近）",https://sxsimg.xiaoyuanzhao.com/B0/F0/B0304C131D7FBCF3C85B4756E1D996F0.png,奢分期,50-150人,计算机/互联网
电商数据分析实习生,100-150／天,广州,本科,4天／周,实习6个月,职位诱惑：知名互联网企业、良好发展前景、猪场伙食好,岗位内容：1、负责日常数据监控和数据分析，定期输出分析报告；2、对接运营活动数据统计、分析需求，保证数据的准确性和时效性；3、研究行业相关知识及竞品动态，进行相关报告的学习、总结和分享；4、收集和整理竞品日常数据和运营动态，输出竞品周报。资格要求：1、本科及以上学历，在校非应届生，电商或移动互联网数据分析实习经验优先；2、对行业资讯搜集分析有浓厚兴趣及自身心得，有耐心，乐于分享；3、主动思考，数据敏感度高，有较好的逻辑思维和数据分析能力，解决问题能力强；4、沟通能力强，热衷于学习，有责任感、有激情，不畏困难；5、熟练运用excel、ppt；6、每周需要到岗4天以上，至少实习半年。注：数据挖掘方向的学生勿投。,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-13/C8Gi4eY7QZfR2N5.png,网易,2000人以上,"互联网,电子商务"
